Date,Title,Price,Link
Sat 16 Jun 09:21:15 PM,showing room  on Sunday at 10am,$800,https://sfbay.craigslist.org/sfc/roo/d/showing-room-on-sunday-at-10am/6619175565.html
Sat 16 Jun 09:02:42 PM,Private Room w/ Balcony and Views of Monterey Blvd. 4 Blocks to BART.,$810,https://sfbay.craigslist.org/sfc/roo/d/private-room-balcony-and/6615395313.html
Sat 16 Jun 08:55:00 PM,Roommate Ad -,$800,https://sfbay.craigslist.org/sfc/roo/d/roommate-ad/6619171490.html
Sat 16 Jun 08:36:35 PM,Room for rent near Balboa Bart-Female only**OPEN HOUSE 6/16**,$900,https://sfbay.craigslist.org/sfc/roo/d/room-for-rent-near-balboa/6612760456.html
Sat 16 Jun 07:17:05 PM,Ocean Beach Great room for great price in,$850,https://sfbay.craigslist.org/sfc/roo/d/ocean-beach-great-room-for/6613645867.html
Sat 16 Jun 06:46:19 PM,"Up hill beautyful view,FREE fast WiFi, 6'convenient transp.to SFSU",$950,https://sfbay.craigslist.org/sfc/roo/d/up-hill-beautyful-viewfree/6619124331.html
Sat 16 Jun 06:26:47 PM,"Nice Room in Inner Sunset,Near Transportation,All Male Housemates",$985,https://sfbay.craigslist.org/sfc/roo/d/nice-room-in-inner-sunsetnear/6619076354.html
Sat 16 Jun 05:40:41 PM,楼上雅房分租 傢俬齐,$1080,https://sfbay.craigslist.org/sfc/roo/6619092594.html
Sat 16 Jun 05:17:10 PM,Spacious Private Room-2 blocks to Muni/ SFSU/CCSF/Dtonetown Mall,$1095,https://sfbay.craigslist.org/sfc/roo/d/spacious-private-room-2/6613123280.html
Sat 16 Jun 04:55:04 PM,Private Room in HOUSE on Monterey Blvd. 4 Blocks to BART.,$1000,https://sfbay.craigslist.org/sfc/roo/d/private-room-in-house-on/6614535381.html
Sat 16 Jun 04:46:56 PM,Daly City 94015 Westlake 2nd Floor- State U. City College,$1100,https://sfbay.craigslist.org/sfc/roo/d/daly-citywestlake-2nd-floor/6619062733.html
Sat 16 Jun 04:11:38 PM,$1000 large unfurnished bedroom and 1 shared full bathrom,$1000,https://sfbay.craigslist.org/sfc/roo/d/1000-large-unfurnished/6619041142.html
Sat 16 Jun 03:35:45 PM,Spacious Bedroom for rent,$1050,https://sfbay.craigslist.org/sfc/roo/d/spacious-bedroom-for-rent/6604259537.html
Sat 16 Jun 03:18:31 PM,"New in Town-fully furnished -Best for prefessional, grad student,-now",$1100,https://sfbay.craigslist.org/sfc/roo/d/new-in-town-fully-furnished/6619005613.html
Sat 16 Jun 03:09:23 PM,Housing close to SFSU and CCSF,$899,https://sfbay.craigslist.org/sfc/roo/d/housing-close-to-sfsu-and-ccsf/6618931147.html
Sat 16 Jun 02:06:33 PM,"Private Room Sunset area, Quiet, Safe and Clean",$985,https://sfbay.craigslist.org/sfc/roo/d/private-room-sunset-area/6618940542.html
Sat 16 Jun 01:51:42 PM,month to month roomshare in San Francisco,$899,https://sfbay.craigslist.org/sfc/roo/d/month-to-month-roomshare-in/6618929769.html
Sat 16 Jun 01:47:00 PM,"Great Room, Nice Location, Convenient to Transportation & Shops & SFSU",$985,https://sfbay.craigslist.org/sfc/roo/d/great-room-nice-location/6618893688.html
Sat 16 Jun 01:40:23 PM,Flexible month to month stays in San Francisco,$899,https://sfbay.craigslist.org/sfc/roo/d/flexible-month-to-month-stays/6616289226.html
Sat 16 Jun 01:35:39 PM,Room for Rent,$1050,https://sfbay.craigslist.org/sfc/roo/d/room-for-rent/6616587811.html
Sat 16 Jun 01:23:54 PM,Spacious Room-2 blocks to MUNI/SFSU/CCSF/Stonetown Mall,$995,https://sfbay.craigslist.org/sfc/roo/d/spacious-room-2-blocks-to/6598251076.html
Sat 16 Jun 01:23:52 PM,Spacious Private Room-2 blocks to Muni/ SFSU/CCSF/Dtonetown Mall,$1095,https://sfbay.craigslist.org/sfc/roo/d/spacious-private-room-2/6618915088.html
Sat 16 Jun 12:27:59 PM,Spacious Bedroom for rent,$1050,https://sfbay.craigslist.org/sfc/roo/d/spacious-bedroom-for-rent/6606512759.html
Sat 16 Jun 12:24:19 PM,Private Room Available in Quiet SF Neighborhood,$1050,https://sfbay.craigslist.org/sfc/roo/d/private-room-available-in/6618863168.html
